,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Number,Name,Unit-Name,owner-type,owner,Location,Gouvernorate,Fuel,No of Unit,Commissioning-year,Total Installed Capacity (MW),Efficiency,pp-type,Optional Fuel,Annual Production [GWh],Source,Notes,,,Coordinates,,All coordinates are either taken from http://enipedia.tudelft.nl/wiki/Tunisia/Powerplants or from http://www.industryabout.com/country-territories-3/1556-tunisia/fossil-fuels-energy/22797-rades-ii-gas-power-plant
1,Rades I,,Public,STEG,Rades ,Tunis,Natural Gas,2,1985,324,33,Steam Turbine,Oil,,"GIZ (2013), p.19","STEG / JICA (2014), p. IV-8",,,"36.77 N, 10.28 E",,
2,Rades I,,Public,STEG,Rades ,Tunis,Natural Gas,2,1998,354,35,Steam Turbine,Oil,,"GIZ (2013), p.19",,,,"36.77 N, 10.28 E",,
3,Ghanouche,,Public,STEG,Ghannouche ,Gabes,Natural Gas,2,1972,60,28,Steam Turbine,,,"GIZ (2013), p.19",http://www.globalenergyobservatory.org/geoid/41577,,,"33.9333 N, 10.0667 E",,
4,Sousse,Sousse A,Public,STEG,Sousse ,Sousse,Natural Gas,2,1980,306,32.5,Steam Turbine,,,"GIZ (2013), p.19",http://www.globalenergyobservatory.org/geoid/41564,,,"35.83 N, 10.64 E",,
5,Sousse,Sousse B,Public,STEG,Sousse ,Sousse,Natural Gas,1,1994,120,44,CCGT,Distillate,,"GIZ (2013), p.19",,,,"35.83 N, 10.64 E",,
6,Sousse,Sousse B,Public,STEG,Sousse ,Sousse,Natural Gas,1,1994,120,44,CCGT,Distillate,,"GIZ (2013), p.19",,,,"35.83 N, 10.64 E",,
7,Sousse,Sousse B,Public,STEG,Sousse ,Sousse,Natural Gas,1,1994,124,44,CCGT,Distillate,,"GIZ (2013), p.19",,,,"35.83 N, 10.64 E",,
8,Rades II,,IPP,Carthage Power Co Sarl (CPC),Rades ,Tunis,Natural Gas,1,2002,471,44,CCGT,Diesel oil,,"GIZ (2013), p.19",End of activity (based on E&M Systems): 2020-2025,,,"36.76 N, 10.27 E",,
9,El Biben,Biben,IPP,Soc D'elec D'el Bibane (SEEB),Zarzis ,Medenine,Natural Gas,2,2003,27,22,CCGT,,,"GIZ (2013), p.19",http://www.industcards.com/cc-tunisia.htm,"Energy & Meteo Systems (2013), p. 28",End of activity (based on E&M Systems): 2020-2025,"33.503981 N, 11.112155 E",,
10,Ghanouche,,Public,STEG,Ghannouche ,Gabes,Natural Gas,1,2011,416,52.5,CCGT,,,"GIZ (2013), p.19",,,,"33.9333 N, 10.0667 E",,
11,Thyna,,Public,STEG,Thyna ,Sfax,Natural Gas,1,2004,120,29,OCGT,,,"GIZ (2013), p.19",http://www.industryabout.com/country-territories-3/1556-tunisia/fossil-fuels-energy/22803-thyna-gas-power-plant,"Energy & Meteo Systems (2013), p. 28",,"34.6542 N, 10.6764 E",,
12,Thyna,,Public,STEG,Thyna ,Sfax,Natural Gas,1,2010,120,29,OCGT,,,"GIZ (2013), p.19",http://www.industryabout.com/country-territories-3/1556-tunisia/fossil-fuels-energy/22803-thyna-gas-power-plant,"Energy & Meteo Systems (2013), p. 28",,"34.6542 N, 10.6764 E",,
13,Thyna,,Public,STEG,Thyna ,Sfax,Natural Gas,1,2010,120,29,OCGT,,,"GIZ (2013), p.19",http://www.industryabout.com/country-territories-3/1556-tunisia/fossil-fuels-energy/22803-thyna-gas-power-plant,"Energy & Meteo Systems (2013), p. 28",,"34.6542 N, 10.6764 E",,
14,Fyrianah,,Public,STEG,Fyrianah,Kasserine,Natural Gas,1,2005,118,29,OCGT,,,http://www.industryabout.com/country-territories-3/1556-tunisia/fossil-fuels-energy/22787-feriana-gas-power-plant,http://enipedia.tudelft.nl/wiki/Feriana_Powerplant,http://globalenergyobservatory.org/geoid/41565,,"34.905500,8.540937",,
15,Fyrianah,,Public,STEG,Fyrianah,Kasserine,Natural Gas,1,2009,126,29,OCGT,,,http://www.industryabout.com/country-territories-3/1556-tunisia/fossil-fuels-energy/22787-feriana-gas-power-plant,http://enipedia.tudelft.nl/wiki/Feriana_Powerplant,http://globalenergyobservatory.org/geoid/41565,,"34.905500,8.540937",,
16,Goulette,La Goulette,Public,STEG,La Goulette ,Bizerte,Natural Gas,1,2004,118,30.5,OCGT,Oil,,"GIZ (2013), p.19","Energy & Meteo Systems (2013), p. 28",,,"37.24 N, 9.84 E",,
17,Bir Mcherga,Bir Mcherga Unit 1,Public,STEG,Bir M'cherga ,Zaghouan,Natural Gas,1,1997,120,28,OCGT,,,"GIZ (2013), p.19",http://www.industcards.com/cc-tunisia.htm,industcards says its a CCGT power plant?,,"36.52 N, 9.96 E",,
18,Bir Mcherga,Bir Mcherga Unit 2,Public,STEG,Bir M'cherga ,Zaghouan,Natural Gas,1,1997,120,28,OCGT,,,"GIZ (2013), p.19",http://www.industcards.com/cc-tunisia.htm,industcards says its a CCGT power plant?,,"36.52 N, 9.96 E",,
19,Bouchemma,Bouchemma Unit 1,Public,STEG,Bouchemma ,Gabes,Natural Gas,1,1976,30,28,OCGT,Oil,,"Energy & Meteo (2013), p. 28",http://www.industryabout.com/country-territories-3/1556-tunisia/fossil-fuels-energy/22783-bouchemma-1-2-gas-power-plant,,,"33.920022,10.038889",,
20,Bouchemma ,Bouchemma Unit 2,Public,STEG,Bouchemma ,Gabes,Natural Gas,1,1976,30,28,OCGT,Oil,,"Energy & Meteo (2013), p. 28",http://www.industryabout.com/country-territories-3/1556-tunisia/fossil-fuels-energy/22783-bouchemma-1-2-gas-power-plant,,,"33.920022,10.038889",,
21,Bouchemma ,Bouchemma Unit 3,Public,STEG,Bouchemma ,Gabes,Natural Gas,1,1999,118,28,OCGT,Gasoil,,"Energy & Meteo (2013), p. 28",http://www.industryabout.com/country-territories-3/1556-tunisia/fossil-fuels-energy/22784-bouchemma-3-gas-power-plant,,,"33.919239,10.037517",,
23,M'dilla,,,Industries Chimiques De Gafss,M'dilla ,Gafsa,Fueloil,,,30.4,-,OCGT,,,http://powerafrica.opendataforafrica.org/,,,,"34.25 N, 8.75 E",,
24,Saepa Nitric Plant,,,Soc Engrais De Gabes (saepa),Gabes,Gabes,Fueloil,,,28,-,OCGT,,,http://powerafrica.opendataforafrica.org/,,,,-,,
25,Kasserine Nord,,Public,STEG,Kasserine ,Kasserine,Natural Gas,2,,68,23,OCGT,,,"Energy & Meteo Systems (2013), p. 28",http://www.industryabout.com/country-territories-3/1556-tunisia/fossil-fuels-energy/22791-kasserine-gas-power-plant,End of activity (based on E&M Systems): 2020-2025,,"35.203139,8.770858",,
26,Korba,,Public,STEG,Korba ,Nabeul,Natural Gas,,,50,21,OCGT,,,"Energy & Meteo Systems (2013), p. 28",,,,"36.58 N, 10.86 E",,
27,Tunis Sud,,Public,STEG,Tunis ,Ariana,Natural Gas,,,60,23,OCGT,,,"Meteo & Energy Systems (2013), p.28",,,,"36.8 N, 10.17 E",,
28,Zarzis,,Public,STEG,Zarzis ,Medenine,Gasoil,,,30,21,OCGT,,,"Energy & Meteo (2013), p. 28",,,,"33.503981 N, 11.112155 E",,
29,Metlaoui,,Public,STEG,Al Mitlawi ,Gafsa,Fueloil,,,47,-,OCGT,,,http://powerafrica.opendataforafrica.org/,,,,"34.3333 N, 8.4 E",,
30,Robbana,,Public,STEG,Robbana ,Medenine,Gasoil,,,30,21,OCGT,,,"Energy & Meteo (2013), p. 28",http://enipedia.tudelft.nl/wiki/Robbana_Powerplant,End of activity (based on E&M Systems): 2020-2025,,"33.7683 N, 10.9011 E",,
31,Sidi Salem,,Public,STEG,Testour ,Ariana,,,,33,,Hydro,,114,http://powerafrica.opendataforafrica.org/,http://enipedia.tudelft.nl/wiki/Sidi_Salem_Powerplant,,,"36.55 N, 9.45 E",,
32,Sidi Daoud,,Public,STEG,El Haouaria ,Bizerte,,,,54,,Wind-Onshore,,,"Abdeljelil, I. (2017), p. 3",Not sure who owns the Sidi Daoud Wind park,,,-,,
33,Sejenane,,Public,STEG,Sejenane ,Bizerte,,,,0.6,,Hydro,,,http://powerafrica.opendataforafrica.org/,,,,-,,
34,Oued Zar,,Private,"Enterprise Tunisienne d'Activites Petrolieres (ETAP) (50%), ENI Tunisia BV (50%)",Oued Zar Oilfield ,Tataouine,Natural Gas,2,1997,22,28,OCGT,Oil,,http://www.industcards.com/cc-tunisia.htm,"2x11MW Units, Efficiency adapted from Bir mcherga Units 1+2",,,"31.393849,10.021431",,
35,Taqa Bizerte ,,,Abu Dhabi Natl. Energy (taqa),Taga Bizerte ,Bizerte,,,2014,190,,Wind-Onshore,,,http://www.oitsfax.org/files/AApresentationHDR20140323.pdf,"GIZ (2013), p. 18 says 50 MW had already been commissioned in 2012.",,,-,,
36,Bir Mcherga,Bir Mcherga Unit 3,Public,STEG,Bir M'cherga ,Zaghouan,Natural Gas,1,2013,120,56,CCGT,,,https://www.gepower.com/content/dam/gepower-pgdp/global/en_US/documents/product/gas%20turbines/Fact%20Sheet/9e03-04-fact-sheet-april-2015.pdf,Efficiency in LHV,http://www.ge.com/menat/company/tunisia,E&M lists the pp with 28% Efficiency which seems small for a CCGT power plant,"36.52 N, 9.96 E",,
37,Bir Mcherga,Bir Mcherga Unit 4,Public,STEG,Bir M'cherga ,Zaghouan,Natural Gas,1,2013,120,56,CCGT,,,https://www.gepower.com/content/dam/gepower-pgdp/global/en_US/documents/product/gas%20turbines/Fact%20Sheet/9e03-04-fact-sheet-april-2015.pdf,Efficiency in LHV,http://www.ge.com/menat/company/tunisia,E&M lists the pp with 28% Efficiency which seems small for a CCGT power plant,"36.52 N, 9.96 E",,
38,Menzel Bourguiba,,,Siderurgique Menzel Bourguiba,Menzel Bourguiba,Bizerte,Gasoil,2,1978,44,28,OCGT,,,http://www.industryabout.com/country-territories-3/1556-tunisia/fossil-fuels-energy/22794-menzel-bourguiba-oil-power-plant,"Energy & Meteo Systems (2013), p. 28",Http://documents.worldbank.org/curated/en/567011468175458287/pdf/multi0page.pdf ; p. 12,,"37.148218,9.800648",,
39,Sfax,,Public,STEG,Safaqis,Sfax,Natural Gas,2,1977,44,27,OCGT,,,"Energy & Meteo (2013), p. 28",http://www.industryabout.com/country-territories-3/1556-tunisia/fossil-fuels-energy/22798-sfax-gas-power-plant,,,"34.807265,10.703092",,
40,Ghanouche,,Public,STEG,Ghannouche,Gabes,Natural Gas,2,1973,44,,OCGT,,,http://www.industryabout.com/country-territories-3/1556-tunisia/fossil-fuels-energy/22789-ghannouch-oc-gas-power-plant,,,,"33.923554,10.080747",,
41,Sousse C,Sousse C,public ,STEG,Sidi Abdel Hamid,Sousse,Natural Gas,2,2013,424,,CCGT,"Light Fuel Oil, Diesel Oil",,http://www.kapitalis.com/kapital/27590-sousse-l-extension-de-la-centrale-electrique-de-sidi-abdelhamid.html,http://www.bono.it/energia/en/utils/news/Lighting-up-the-power-in-Tunisia.html#,Assuming Sousse C started its activity in 2016 due to the huge difference between listed CCGT plants and numbers from STEG(2017),,"35.785913,10.677649",,
42,Sidi Daoud,,public ,STEG,Sidi Daoud,Nabeul,,,2000,10.56,,Wind-Onshore,,,"Detoc, L. (2016), p. 17","Turbines: AE32 (300 kW), AE46 (800 kW) and AE61 (1320 kW)",,,,,
43,Sidi Daoud,,public ,STEG,Sidi Daoud,Nabeul,,,2003,8.72,,Wind-Onshore,,,"Detoc, L. (2016), p. 17","Turbines: AE32 (300 kW), AE46 (800 kW) and AE61 (1320 kW)",,,,,
44,Sidi Daoud,,public ,STEG,Sidi Daoud,Nabeul,,,2009,34.32,,Wind-Onshore,,,"Detoc, L. (2016), p. 17","Turbines: AE32 (300 kW), AE46 (800 kW) and AE61 (1320 kW)",,,,,
45,Kchabta,,public ,STEG,Kchabta,Bizerte,,,2015,94,,Wind-Onshore,,,"Detoc, L. (2016), p. 18",The Wind park was originally built in 2012 (45 Turbines) and extended in 2015. Turbines: Mainly AE61 (1320 kW),,,,,
46,Metline,,public ,STEG,Metline,Bizerte,,,2015,95,,Wind-Onshore,,,"Detoc, L. (2016), p. 18",The Wind park was originally built in 2012 (46 Turbines) and extended in 2015. Turbines: Mainly AE61 (1320 kW),,,,,
47,Uncertain Steam Turbine Capacity,,,,,,,,,0,,Steam Turbine,,,,,,,,,
48,Uncertain CCGT Capacity,,,,,,,,,195,,CCGT,,,,,,,,,
49,Uncertain OCGT Capacity,,,,,,,,,178,,OCGT,,,,,,,,,
50,Uncertain Hydro Capacity,,,,,,,,,28.4,,Hydro,,,,,,,,,
51,Uncertain Wind Capacity,,,,,,,,,0,,Wind-Onshore,,,,,,,,,
52,Uncertain Decentralized PV Capacity,,,,,,,,,32,,Decentralized PV,,,"Detoc, L. (2016), p. 19",Decentralized PV under Prosol-Elec,,,,,
53,Uncertain Utility-Scale PV Capacity,,,,,,,,,0,,Utility-Scale PV,,,,,,,,,
